name,color,ep,full,dash_length,dash_full_ratio,power,speed,passe
f1p50p14.0v_#000,#000000,1.5,True,0.0,0.0,50,14.0,1
d5.0l0.95r4p80p4.0v_#f00,#ff0000,0.001,False,5.0,0.95,80,4.0,4
f4p80p4.0v_#f00,#ff0000,0.001,True,0.0,0.0,80,4.0,4
f1p40p10.0v_#00f,#0000ff,0.1,True,0.0,0.0,40,10.0,1
d5.0l0.95r4p80p4.0v_#369,#336699,0.001,False,5.0,0.95,80,4.0,4
f4p80p4.0v_#369,#336699,0.001,True,0.0,0.0,80,4.0,4
f4p100p4.0v_#0ff,#00ffff,0.001,True,0.0,0.0,100,4.0,4
f4p95p4.0v_#0f0,#00ff00,0.001,True,0.0,0.0,95,4.0,4
d5.0l0.95r4p95p4.0v_#0f0,#00ff00,0.001,False,5.0,0.95,95,4.0,4
